,,,,,,,,,,
ただ君だけを、守りたいと願う　１章　スクリプト,,,,,,,,,,
No,キャラクター名,日本語,英語,中国語,LR,表情,Type,補足コメント,,背景画像名
76,eleth,イーラや、あなたも挨拶したらどうさね？,,,L,normal,talk,,19,
77,era,ん？,,,L,normal,talk,※疑問顔,2,
78,volcus,私はヴェルという。,,,R,smile,talk,,9,
79,era,ふーん。ヴェルね。よろしく。(魔方陣に夢中）,,,L,normal,talk,,22,
80,volcus,ふむ。手強いな。よろしく頼む。,,,R,smile,talk,,15,
81,eleth,さてさて、イーラや、もうこんな時間だから、あなたはそろそろお部屋にお戻り。,,,L,normal,talk,,37,
82,eleth,あんまり長く起きてると怖い人たちがさらいに来るさね,,,L,normal,talk,,25,
83,era,えー！もっと見たい！,,,L,angry,talk,,10,
84,eleth,ヴェル様は明日までいるそうだから、そんなに焦らなくても逃やしないよぉ。,,,L,normal,talk,,35,
85,era,んー...でもぉ...んー...,,,L,angry,talk,,16,
86,eleth,・・・,,,L,normal,talk,,3,
87,era,あー！わかったわよ。寝ます。寝ますー。,,,L,angry,talk,,19,
88,eleth,いい子ね。さて、私は片付けがあるから、ヴェル様や、寛いでてください。,,,L,smile,talk,,34,
89,volcus,うむ。世話になる...。イーラよ、良き夢を。,,,R,smile,talk,,22,
90,era,ね！おじさんのお話聞かせて！ばあばがお風呂に入った時に上がってきて！待ってるから！,,,L,smile,talk,,41,
91,era,じゃー！ばあば、おやすみー！,,,L,smile,talk,,14,
92,eleth,はあい、おやすみさないねー。,,,L,normal,talk,,14,
93,volcus,ふむ...。ずずず。,,,R,smile,talk,,10,
94,,,,,,,none,時計の音,0,
95,volcus,意識が戻ったか。,,,R,smile,talk,,8,
96,silhouette_man,いっ！気付かれていたか...,,,L,confuse,talk,,14,
97,volcus,恐れるな。ここは心優しき者の家だ。,,,R,normal,talk,※口角下がり顔,17,
98,silhouette_man,・・・こ、これは...？,,,L,confuse,talk,,12,
99,volcus,私が書いた。古の知恵...と、この家の者のシーツだ。,,,R,normal,talk,※口角下がり顔,26,
100,silhouette_man,あんたが...助けてくれたのか？,,,L,confuse,talk,,16,
101,volcus,そうだ。,,,R,normal,talk,※口角下がり顔,4,
102,silhouette_man,・・・あんたは...？,,,L,confuse,talk,,11,
103,volcus,ふむ。今日はよく名を聞かれる。ヴェルである。,,,R,normal,talk,※口角下がり顔,22,
104,silhouette_man,俺は...クリシュオラ。,,,L,confuse,talk,,12,
105,volcus,・・・名があるのか。さて、話せる範囲で良い。何があった。,,,R,normal,talk,※口角下がり顔,28,
106,silhouette_man,お、俺は奴隷さ...,,,L,confuse,talk,,10,
107,volcus,ふむ。,,,R,normal,talk,※口角下がり顔,3,
108,,人魔終戦から１０年。魔王陥落後、各地で反乱を起こす魔族の残党は敗れに敗れた。,,,,,,※解説的なやつができるなら,38,
109,,今や森や洞窟の奥でひっそり暮らすか、人の奴隷として生きるかしか魔族には道がない。,,,,,,※解説的なやつができるなら,40,
110,,惨めではあるが、人間からの共存の提案を退け、わずかな者を残すまで戦い続けた我らが種族の宿命か...。,,,,,,※解説的なやつができるなら,50,
111,silhouette_man,この街の近くの森にコロニーがあると聞いて...,,,L,confuse,talk,,23,
112,volcus,仲間の元へ行きたくなったか。,,,R,normal,talk,※口角下がり顔,14,
113,silhouette_man,そうさ...俺は戦いが終わる前、ひっそりと森に暮らしていて...,,,L,confuse,talk,,32,
114,volcus,ふむ。,,,R,normal,talk,※口角下がり顔,3,
115,silhouette_man,ある日突然、戦いは終わった...俺たちは魔王様の訃報をうけた。あんたも知ってるかもしれないが..,,,L,confuse,talk,,48,
116,volcus,ふむ。,,,R,normal,talk,※口角下がり顔,3,
117,silhouette_man,そこから大半の森の魔族達は怒り狂ったように人間の街へ侵攻したが、まぁ...,,,L,confuse,talk,,37,
118,silhouette_man,統率もない低級魔族の群れが人間の軍隊に勝てるはずもなく...さ。,,,L,confuse,talk,,32,
119,volcus,参加したのか。,,,R,normal,talk,※口角下がり顔,7,
120,silhouette_man,・・・ああ。,,,L,confuse,talk,,6,
121,volcus,そうか。,,,R,normal,talk,※口角下がり顔,4,
,,,,,,,,,0,
1,,,,,,,none,場面転換,0,
2,silhouette_man,・・・俺みたいなインプ族は元々小柄で、力も弱いから。家族で参加したのは俺だけだった。,,,L,confuse,talk,,42,
3,silhouette_man,俺は運良く死なずに、この街の貴族の奴隷として雇われた。,,,L,confuse,talk,,27,
4,volcus,それで、近くの森のコロニーに家族がいると思ってか。,,,R,normal,talk,※口角下がり顔,25,
5,silhouette_man,・・・そうさ。そしたら捕まってあのざまさ...。,,,L,confuse,talk,,24,
6,volcus,ふむ。わかった。ご苦労だったな。,,,R,normal,talk,※口角下がり顔,16,
7,silhouette_man,・・・ん？あ、あぁ。,,,L,confuse,talk,,10,
8,volcus,安心して休むとよい。ここは心優しきものの家だ。,,,R,normal,talk,※口角下がり顔,23,
9,silhouette_man,あ、あぁ...ありがてぇ...,,,L,confuse,talk,,15,
10,volcus,ふむ...。ずずず。良き夢を。,,,R,normal,talk,※口角下がり顔,15,
11,,,,,,,none,食器と移動のSE,0,
12,volcus,馳走になった。,,,R,smile,talk,,7,
13,eleth,あら。お話はもう終わったんですか,,,L,normal,talk,,16,
14,volcus,ありがとう。気遣いに感謝する。,,,R,smile,talk,,15,
15,eleth,くす、老婆のいらぬお節介だと思ってください。,,,L,normal,talk,,22,
16,volcus,では、そうさせていただく。,,,R,smile,talk,,13,
17,eleth,ヴェル様は、お風呂は入られますか？,,,L,normal,talk,,17,
18,volcus,ふむ。いや私は寝ずとも良き身なので、最後に借ることとする。,,,R,smile,talk,,29,
19,eleth,そうですか。,,,L,normal,talk,,6,
20,volcus,では。,,,R,smile,talk,,3,
21,eleth,イーラの部屋は二階に上がって左手の部屋です。,,,L,normal,talk,,22,
22,volcus,・・・そうか。ありがとう,,,R,smile,talk,,12,
23,eleth,イーラは毎晩このくらいの時間から、冒険の本を読んで欲しいと駄々をこね始めます。,,,L,normal,talk,,39,
24,eleth,今日はヴェル様の話を聞きたいみたいだから、子供の相手と思って少しの間だけ、お話を聞かせてあげてください。,,,L,normal,talk,,52,
25,volcus,・・・,,,R,smile,talk,,3,
26,eleth,私は久しぶりにゆっくりお風呂につからせていただきますから。場所とシーツのお代と思ってください。,,,L,normal,talk,,47,
27,volcus,では、しっかりと勤めあげよう。,,,R,smile,talk,,15,
28,eleth,クス、よろしくお願いします。,,,L,smile,talk,,14,
29,,,,,,,none,階段を上がる、ノックの音,0,
30,volcus,起きておるか。,,,R,smile,talk,,7,
31,era,んー、どうぞ。,,,L,normal,talk,,7,
32,volcus,失礼させていただく。,,,R,smile,talk,,10,
33,era,やっときた。遅かったのねぇ。,,,L,normal,talk,,14,
34,volcus,すまぬ。話し込んでしまってな。,,,R,smile,talk,,15,
35,era,ん。ゆるそう。,,,L,smile,talk,,7,
36,volcus,ふっ...。,,,R,smile,talk,,6,
37,era,ねえ、ヴェルはどこからきたの？,,,L,normal,talk,,15,
38,volcus,難しい質問だ。私は...。,,,R,smile,talk,,13,
39,era,ねえ、魔王っているの？,,,L,normal,talk,,11,
40,volcus,なぜ、それを聞く？,,,R,smile,talk,,9,
41,era,あのね、本を読んだの。魔王はね、ヴォルカスっていうの。私はね、きっと可哀想な人だって思うの。,,,L,normal,talk,,46,
42,volcus,ほう。,,,R,smile,talk,,3,
43,era,それでね、私が生まれた年に魔王は死んだの。けど、誰も会ったことがないんだって。どんな人か知らないんだけど悪い人だって。,,,L,normal,talk,,59,
44,volcus,ふむ。,,,R,smile,talk,,3,
45,era,でも私はそう思わないの。魔王はきっとね、いい人だったのよ。,,,L,normal,talk,,29,
46,volcus,当たってもいるが、間違ってもいる。,,,R,smile,talk,,17,
47,era,ヴェルは、魔王のこと知っているの？,,,L,normal,talk,,17,
48,volcus,多少なら。,,,R,smile,talk,,5,
49,era,やっぱり。ねえ、話して。そのお話。ヴェルの知っていることでいいの。,,,L,normal,talk,,33,
50,volcus,ふむ。では...,,,R,smile,talk,,8,
